<1556798499> DEBUG: msg: VkClient: sent request: https://api.vk.com/method/groups.getLongPollServer?v=5.90&access_token=d378d1136fb1ec1e8ec80b516656adbf536a3512e74a22d9c106f42389cdb8b654ab109fa286a8393f5c4
<1556798500> DEBUG: msg: VkClient: got response: {"error":{"error_code":100,"error_msg":"One of the parameters specified was missing or invalid: group_id is undefined","request_params":[{"key":"oauth","value":"1"},{"key":"method","value":"groups.getLongPollServer"},{"key":"v","value":"5.90"}]}}
<1556798578> DEBUG: msg: VkClient: sent request: https://api.vk.com/method/groups.getLongPollServer?group_id=180945331&v=5.90&access_token=d378d1136fb1ec1e8ec80b516656adbf536a3512e74a22d9c106f42389cdb8b654ab109fa286a8393f5c4
<1556798579> DEBUG: msg: VkClient: got response: {"response":{"key":"94753815e8a4543f4a917570487d86d9c03045aa","server":"https:\/\/lp.vk.com\/wh180945331","ts":"4437"}}
<1556799759> DEBUG: msg: VkClient: sent request: https://api.vk.com/method/groups.getLongPollServer?group_id=180945331&v=5.90&access_token=d378d1136fb1ec1e8ec80b516656adbf536a3512e74a22d9c106f42389cdb8b654ab109fa286a8393f5c4
<1556799759> DEBUG: msg: VkClient: got response: {"response":{"key":"da2fba75cc41fa6fca27992f56d61f6c14b97d8c","server":"https:\/\/lp.vk.com\/wh180945331","ts":"4440"}}
<1556799759> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4440
<1556799764> DEBUG: msg: VkClient: got response: {"ts":"4440","updates":[]}

<1556799764> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4440
<1556799764> DEBUG: msg: VkClient: got response: {"ts":"4440","updates":[]}

<1556799764> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4440
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4440","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4440
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[{"type":"message_new","object":{"date":1556799765,"from_id":406622200,"id":0,"out":0,"peer_id":2000000001,"text":"тест","conversation_message_id":1776,"fwd_messages":[],"important":false,"random_id":0,"attachments":[],"is_hidden":false},"group_id":180945331}]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799765> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799765> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799766> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799766> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799766> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799766> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799766> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799766> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799766> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799766> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799766> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799766> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799767> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799767> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799768> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799768> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799769> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799769> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799770> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799770> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799771> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799771> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799772> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799772> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799772> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799772> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799772> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799772> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799772> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799772> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799772> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799772> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799773> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799773> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
